,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
2599,PEX6,118.018684,1.7313626,0.0,0.0,1.7313626
7268,TULP1,-9.331445,-1.7309333,1.0443777856065691e-20,1.0747409754601045e-20,1.7309333
5124,DCXR-DT,74.54757,1.7308255,0.0,0.0,1.7308255
2380,ZBTB49,119.43827,1.7304405,0.0,0.0,1.7304405
13018,RBM17,-122.35256,-1.7302094,0.0,0.0,1.7302094
3539,COBLL1,108.152374,1.7299238,0.0,0.0,1.7299238
4941,EFCAB12,79.75161,1.7298324,0.0,0.0,1.7298324
11833,HTRA2,-121.40692,-1.7294859,0.0,0.0,1.7294859
11518,SIX5,-120.627235,-1.729356,0.0,0.0,1.729356
1963,KDM2A,121.38838,1.7293204,0.0,0.0,1.7293204
9785,LY6E-DT,-101.015076,-1.7291616,0.0,0.0,1.7291616
5690,TMEM204,55.31687,1.7291077,0.0,0.0,1.7291077
10412,ZNF334,-112.19957,-1.7284621,0.0,0.0,1.7284621
10998,MSTO1,-118.17668,-1.7284483,0.0,0.0,1.7284483
3143,TOX3,113.149635,1.7283885,0.0,0.0,1.7283885
10159,SNHG15,-108.29682,-1.7280711,0.0,0.0,1.7280711
8409,PDZD4,-57.282497,-1.7278651,0.0,0.0,1.7278651
2537,BACH1,118.4831,1.7276071,0.0,0.0,1.7276071
10319,MAP1LC3B2,-110.81124,-1.7272635,0.0,0.0,1.7272635
9579,SELENOP,-96.45452,-1.7260401,0.0,0.0,1.7260401
12577,NUB1,-122.20534,-1.7259809,0.0,0.0,1.7259809
11790,ALG3,-121.32512,-1.7257653,0.0,0.0,1.7257653
12500,RNF167,-122.16826,-1.7257302,0.0,0.0,1.7257302
4336,ENOSF1,93.47264,1.7256689,0.0,0.0,1.7256689
11266,ZNF239,-119.64605,-1.7252469,0.0,0.0,1.7252469
8993,SLC4A11,-78.37493,-1.7252197,0.0,0.0,1.7252197
9678,LZTS1,-98.83981,-1.7249306,0.0,0.0,1.7249306
4080,FABP6,98.38038,1.7247655,0.0,0.0,1.7247655
2300,CECR2,119.86101,1.7246746,0.0,0.0,1.7246746
2922,NRDE2,115.38914,1.7242094,0.0,0.0,1.7242094
7969,MUC19,-40.726295,-1.7241745,0.0,0.0,1.7241745
11485,SMYD5,-120.50808,-1.7237136,0.0,0.0,1.7237136
12285,ISCA1,-122.026634,-1.7235428,0.0,0.0,1.7235428
3983,LINC02728,99.9345,1.7231281,0.0,0.0,1.7231281
11073,UCK1,-118.6846,-1.7228382,0.0,0.0,1.7228382
10561,DDX21,-113.75976,-1.7223753,0.0,0.0,1.7223753
10864,TMEM250,-116.99638,-1.7216969,0.0,0.0,1.7216969
10729,TERF1,-115.6458,-1.7216823,0.0,0.0,1.7216823
2562,AEBP2,118.275246,1.721395,0.0,0.0,1.721395
12697,DDX18,-122.25258,-1.7213591,0.0,0.0,1.7213591
11032,PFAS,-118.39392,-1.7211677,0.0,0.0,1.7211677
7496,ATP1B4,-19.20194,-1.7208455,3.5652507025353806e-82,3.785526429646494e-82,1.7208455
3789,SLC13A5,103.85972,1.7208033,0.0,0.0,1.7208033
3728,TRPM4,104.99949,1.7204932,0.0,0.0,1.7204932
3670,IL18R1,105.93112,1.7203758,0.0,0.0,1.7203758
3787,ZNF658,103.92634,1.7203498,0.0,0.0,1.7203498
1953,DENND6A,121.41145,1.720236,0.0,0.0,1.720236
10074,FADS2,-106.78946,-1.7196653,0.0,0.0,1.7196653
8333,DPYSL4,-54.450954,-1.7194409,0.0,0.0,1.7194409
4067,ELOVL7,98.56709,1.7194059,0.0,0.0,1.7194059
11983,PAIP2,-121.67107,-1.7193455,0.0,0.0,1.7193455
3179,NBAS,112.65133,1.7193055,0.0,0.0,1.7193055
13218,SPCS2,-122.401634,-1.7192358,0.0,0.0,1.7192358
11330,CSNK2A2,-119.91048,-1.7189846,0.0,0.0,1.7189846
13759,ELOA,-122.51567,-1.717776,0.0,0.0,1.717776
1585,MSRB3,122.238235,1.7172071,0.0,0.0,1.7172071
3464,AFF3,109.16369,1.7172062,0.0,0.0,1.7172062
12651,NAE1,-122.2338,-1.7169387,0.0,0.0,1.7169387
3121,PCNT,113.4188,1.7166847,0.0,0.0,1.7166847
2669,ZNF383,117.58615,1.7159935,0.0,0.0,1.7159935
12541,C11orf58,-122.19322,-1.7155942,0.0,0.0,1.7155942
11083,EIF3C,-118.812454,-1.7155783,0.0,0.0,1.7155783
11293,MRPL50,-119.76469,-1.7147926,0.0,0.0,1.7147926
