,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
2692,JAZF1,66.490074,3.5846899,0.0,0.0,3.5846899
13440,LEF1,-66.449814,-3.582279,0.0,0.0,3.582279
1437,HSD17B6,66.84526,3.5814426,0.0,0.0,3.5814426
12834,WFDC2,-66.28075,-3.5810869,0.0,0.0,3.5810869
3278,SLC6A12,65.98789,3.5810575,0.0,0.0,3.5810575
13025,PWP2,-66.34159,-3.580958,0.0,0.0,3.580958
11998,SRCAP,-65.210724,-3.5805507,0.0,0.0,3.5805507
372,SLC38A9,67.04624,3.580331,0.0,0.0,3.580331
3135,CLDN2,66.17631,3.5799544,0.0,0.0,3.5799544
1911,RYR3,66.74499,3.5792532,0.0,0.0,3.5792532
11447,PDGFD,-62.88915,-3.5780656,0.0,0.0,3.5780656
12134,PAPSS2,-65.535866,-3.577096,0.0,0.0,3.577096
936,TANGO6,66.93906,3.577033,0.0,0.0,3.577033
14497,CCT7,-66.74475,-3.5768502,0.0,0.0,3.5768502
2396,CECR3,66.60863,3.5737667,0.0,0.0,3.5737667
13675,LINC00867,-66.5065,-3.5733337,0.0,0.0,3.5733337
12828,TRIM21,-66.27655,-3.5726812,0.0,0.0,3.5726812
3250,SLC44A5,66.03795,3.572254,0.0,0.0,3.572254
4521,CA8,62.165577,3.5719466,0.0,0.0,3.5719466
2775,SMTN,66.4439,3.570967,0.0,0.0,3.570967
2756,MAP3K5,66.45306,3.5693407,0.0,0.0,3.5693407
263,BDNF-AS,67.07079,3.5678623,0.0,0.0,3.5678623
2898,SLC16A4,66.37336,3.567554,0.0,0.0,3.567554
12750,CD81,-66.24691,-3.5675304,0.0,0.0,3.5675304
13232,IK,-66.398155,-3.567109,0.0,0.0,3.567109
3104,TPCN1,66.21406,3.5659513,0.0,0.0,3.5659513
2448,NEXN-AS1,66.58857,3.565629,0.0,0.0,3.565629
2935,ADCY2,66.35131,3.5655625,0.0,0.0,3.5655625
656,ARMH1,66.99415,3.5654786,0.0,0.0,3.5654786
1163,LINC01504,66.897,3.5652568,0.0,0.0,3.5652568
2258,GPR135,66.655655,3.564744,0.0,0.0,3.564744
13814,DHCR7,-66.54029,-3.564485,0.0,0.0,3.564485
13799,GNAQ,-66.53821,-3.5631297,0.0,0.0,3.5631297
1942,SLC8A2,66.73824,3.5629177,0.0,0.0,3.5629177
3730,CHST8,65.11482,3.5628748,0.0,0.0,3.5628748
9411,MT3,-27.9889,-3.5624075,2.2177931796865912e-172,2.610897812980777e-172,3.5624075
2581,AFF3,66.54258,3.5609508,0.0,0.0,3.5609508
2167,ENPEP,66.683655,3.5607772,0.0,0.0,3.5607772
13347,ATP5MC2,-66.423454,-3.560523,0.0,0.0,3.560523
14063,CDC25A,-66.60091,-3.5602462,0.0,0.0,3.5602462
1487,C16orf96,66.83347,3.55873,0.0,0.0,3.55873
12663,HIC1,-66.205345,-3.558467,0.0,0.0,3.558467
13805,CENPB,-66.53904,-3.557335,0.0,0.0,3.557335
2854,TDRD1,66.397995,3.5565002,0.0,0.0,3.5565002
1475,CACNA2D1,66.83668,3.555559,0.0,0.0,3.555559
3307,WNK2,65.93761,3.5554652,0.0,0.0,3.5554652
2800,CCDC27,66.432335,3.5551665,0.0,0.0,3.5551665
11804,ENC1,-64.62906,-3.5548115,0.0,0.0,3.5548115
14415,FZD8,-66.71204,-3.5538766,0.0,0.0,3.5538766
12954,GGN,-66.315315,-3.553475,0.0,0.0,3.553475
3741,ARSJ,65.07831,3.5526261,0.0,0.0,3.5526261
798,TRIM45,66.96569,3.5520473,0.0,0.0,3.5520473
833,SYT17,66.957726,3.5512319,0.0,0.0,3.5512319
14620,PARP1,-66.815674,-3.549723,0.0,0.0,3.549723
2611,DNM1P35,66.53234,3.5496075,0.0,0.0,3.5496075
12724,EPS8L1,-66.238205,-3.5487893,0.0,0.0,3.5487893
3416,CTNNA2,65.77076,3.5483243,0.0,0.0,3.5483243
3021,NCALD,66.29502,3.5468855,0.0,0.0,3.5468855
344,C12orf60,67.05144,3.5466118,0.0,0.0,3.5466118
13233,BDH2,-66.3982,-3.5430727,0.0,0.0,3.5430727
10704,CT66,-55.17516,-3.541081,0.0,0.0,3.541081
613,SLC44A3,67.00194,3.54084,0.0,0.0,3.54084
