"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL26L1",0,-3.31914924615516,0.017,0.157,0
"SPAG9",0,1.05014069620542,0.279,0.139,0
"HSPB11",0,-16.1301960415712,0,0.14,0
"SUZ12P1",0,-16.0775903763933,0,0.14,0
"ADAMTS8",0,-4.91200001081556,0.006,0.146,0
"LINC01470",0,6.34156003410456,0.142,0.002,0
"MIR4435-2HG",0,2.39799655913242,0.182,0.042,0
"NPIPB5",0,6.15262165929961,0.144,0.004,0
"POLR2J3",0,3.79264253980741,0.146,0.006,0
"PPFIA1",0,1.51122360671552,0.24,0.1,0
"ARF4",0,-1.44580881564637,0.136,0.275,0
"ARMCX1",0,-3.01577139161081,0.021,0.16,0
"ENSG00000244055",0,13.1805474378697,0.139,0,0
"ENSG00000253819",0,13.9627280925179,0.139,0,0
"ERCC6L2",0,1.46480547191792,0.227,0.088,0
"GALNT18",0,2.09476633376346,0.189,0.05,0
"ITSN2",0,0.503238408088407,0.338,0.199,0
"MYRIP",0,2.91483929927889,0.158,0.019,0
"PPP1R12A",0,0.449936687257408,0.402,0.263,0
"PPP1R16A",0,-1.27492522772707,0.138,0.277,0
"SIRT5",0,1.44864508092865,0.241,0.102,0
"STMP1",0,-1.29600786282918,0.198,0.337,0
"FN1",0,-4.51637541585368,0.013,0.152,0
"MIR193BHG",0,4.83979201543734,0.148,0.009,0
"PLS3",0,1.15340071759762,0.238,0.099,0
"ACTG1",0,-1.29563403478406,0.446,0.585,0
"AMOTL1",0,1.87335637462886,0.203,0.065,0
"ANAPC15",0,-2.93943029314468,0.022,0.16,0
"CDK5RAP2",0,1.38548096160764,0.228,0.09,0
"EIF2B3",0,1.49714901871596,0.229,0.091,0
"ENOX2",0,2.06891091716792,0.182,0.044,0
"GOLGA8B",0,1.34953090551006,0.216,0.078,0
"HDDC2",0,-1.69666931193999,0.113,0.251,0
"IFTAP",0,-2.4457388677447,0.053,0.191,0
"LPIN1",0,1.86337572821677,0.209,0.071,0
"NSUN6",0,1.5872396564211,0.22,0.082,0
"PIGL",0,2.40433373098918,0.181,0.043,0
"PTEN",0,0.865857957551283,0.311,0.173,0
"RPAIN",0,-1.58544649112318,0.106,0.244,0
"TAF15",0,0.823516009243718,0.332,0.194,0
"ZNF493",0,2.52557815389859,0.169,0.031,0
"GPC6",0,-2.35571137307384,0.097,0.235,0
"GPR155",0,2.90647250573941,0.177,0.039,0
"PTPRA",0,0.868120320343423,0.305,0.167,0
"SSH1",0,1.61517161387066,0.237,0.099,0
"ZPBP",0,5.07245315729549,0.143,0.005,0
