"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NAA60",0,-3.65544274444684,0.007,0.229,0
"PSMD10",0,-1.62553048486889,0.036,0.258,0
"RIT1",0,-0.539085844451233,0.094,0.316,0
"IRX3",0,-0.975767967361974,0.067,0.289,0
"LYPLA2",0,-0.82805065856386,0.06,0.282,0
"NAA20",0,0.277344408852815,0.185,0.407,0
"SCFD1",0,0.381858555274346,0.194,0.416,0
"TSSC4",0,-0.328576530788811,0.084,0.306,0
"GNL3L",0,-1.31795381018883,0.055,0.276,0
"ORAI1",0,-1.39447748681667,0.046,0.267,0
"SEPTIN7",0,-1.04630354954999,0.445,0.666,0
"STX2",0,-1.07111193634853,0.057,0.278,0
"FAM161A",0,-1.64006940072802,0.039,0.26,0
"FDX2",0,-3.41361243477192,0.007,0.228,0
"GATA5",0,-1.90134427721427,0.021,0.242,0
"NARS1",0,14.7302066932277,0.221,0,0
"NPTN",0,0.360743676485504,0.228,0.449,0
"PPP3R1",0,-5.01862378258352,0.004,0.225,0
"TCEAL3",0,-0.579120127454485,0.094,0.315,0
"AUXG01000058.1",0,-3.62974268283534,0.013,0.234,0
"CMTM3",0,-0.473034256651563,0.074,0.295,0
"LPIN2",0,-1.10594504221206,0.08,0.301,0
"SMIM15",0,-0.384016326571756,0.078,0.299,0
"TCF3",0,-0.804691071730877,0.073,0.294,0
"C7orf50",0,0.501572037141286,0.261,0.482,0
"EIF2B4",0,-0.840892718753828,0.055,0.275,0
"SEPHS1",0,-0.297912010002968,0.113,0.333,0
"ZDHHC12",0,-0.922675861661756,0.045,0.265,0
"APEH",0,-0.505920586162596,0.088,0.308,0
"APOA1",0,-3.13588176730338,0.033,0.253,0
"CASQ2",0,6.64632577160329,0.233,0.013,0
"CRB2",0,-4.03007350154527,0.004,0.224,0
"DHRSX",0,-7.63037027566978,0.001,0.221,0
"STAT1",0,-0.352351582487657,0.098,0.318,0
"TXNDC9",0,-0.339629437975475,0.089,0.309,0
"WDR33",0,0.352465834599978,0.212,0.432,0
"CSRP3",0,1.59632507476267,0.74,0.52,0
"GUF1",0,-0.880046352366602,0.065,0.285,0
"PSAT1",0,-2.45342546108493,0.016,0.236,0
"DIAPH1",0,-1.2730974711256,0.051,0.27,0
"FARP1",0,0.410360313168038,0.236,0.455,0
"RAB12",0,-0.458760056639655,0.108,0.327,0
"TATDN1",0,0.260953788845857,0.174,0.393,0
"BMP4",0,-2.96187538513118,0.014,0.233,0
"CHMP3",0,0.428641865910298,0.215,0.434,0
"COQ4",0,0.285049439191911,0.166,0.385,0
"KMT2B",0,-1.51333533385236,0.04,0.259,0
"SECISBP2",0,-0.499739463085288,0.086,0.305,0
"ARIH1",0,0.608260466102453,0.194,0.413,0
"NRAS",0,-0.709241662063499,0.065,0.284,0
"PPP4C",0,0.468935546110543,0.196,0.415,0
"ZDBF2",0,-1.3144959466715,0.071,0.29,0
"ZYG11B",0,-0.354827287332756,0.125,0.344,0
"GALNT7",0,-1.46895892530415,0.045,0.263,0
"REV1",0,-0.301640646045999,0.117,0.335,0
"ZMYM3",0,-1.00087458767418,0.057,0.275,0
"GEMIN7",0,-7.28814328452817,0,0.218,0
"HBB",0,15.5717688283297,0.218,0,0
"MEIS3",0,-2.93689259132313,0.008,0.226,0
"SLC7A2",0,-2.31845060267632,0.035,0.253,0
"THOC1",0,-0.553786317964599,0.094,0.312,0
"CREB3",0,-0.736018368479682,0.066,0.284,0
"EXOSC6",0,-0.699254256481944,0.074,0.292,0
"FOXN3",0,0.369693285491813,0.2,0.418,0
"GMPR2",0,-0.651454263641855,0.071,0.289,0
"GPALPP1",0,-0.824499311159269,0.066,0.284,0
"RPS11",0,-0.675390310455122,0.763,0.981,0
"TM9SF4",0,-0.730209480835024,0.083,0.301,0
"API5",0,-0.403214436028176,0.103,0.32,0
"CCNT2",0,-0.468212237250188,0.109,0.326,0
"DZIP3",0,-0.306936213792125,0.112,0.329,0
"MGA",0,-0.45342210770736,0.106,0.323,0
"NHLRC2",0,-0.405402009107749,0.102,0.319,0
"TGS1",0,-1.32829867258339,0.05,0.267,0
"ACTA1",0,-2.82038051292627,0.031,0.248,0
"CCDC82",0,-0.499213126881747,0.094,0.311,0
"CHML",0,-4.03620154320206,0.009,0.226,0
