"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WAC-AS1",0,-15.8833806602258,0,0.338,0
"ARMCX2",0,-3.55100374659769,0.014,0.352,0
"NAA20",0,-1.4121136996072,0.069,0.407,0
"PSMD1",0,-0.431127079710942,0.264,0.602,0
"RAI14",0,-3.10720703687891,0.027,0.365,0
"RRAGA",0,-2.66455972867063,0.025,0.363,0
"FBN2",0,-0.468780816276108,0.35,0.687,0
"ASB18",0,9.77690206668858,0.339,0.002,0
"MTFR1",0,4.42244077095659,0.464,0.127,0
"PRPF31",0,-1.50926443061029,0.054,0.391,0
"MTRNR2L8",0,-16.2692689920951,0,0.337,0
"DNAJB11",0,-2.97987068136467,0.032,0.369,0
"EXOSC8",0,-1.0709046823517,0.089,0.426,0
"GPS1",0,-2.51687240096616,0.027,0.364,0
"LAP3",0,-2.772362148901,0.025,0.362,0
"PDCD7",0,-1.35375573455151,0.073,0.41,0
"TMEM205",0,-2.69646255326808,0.033,0.37,0
"UMAD1",0,4.68645649763016,0.426,0.089,0
"CREM",0,-0.582560750379897,0.214,0.55,0
"KIAA0355",0,-15.8468288629624,0,0.336,0
"FAM133B",0,-0.467033097767545,0.229,0.565,0
"HK1",0,-0.465231493678894,0.256,0.592,0
"RASGRP3",0,4.22778280742669,0.414,0.078,0
"SAR1A",0,-1.36596116961336,0.086,0.422,0
"PDLIM1",0,-0.932650445656551,0.21,0.545,0
"ATP1B2",0,-7.07766394901992,0.001,0.336,0
"FGD4",0,4.37874181981416,0.439,0.104,0
"GUCY1A1",0,-0.824311954148453,0.174,0.509,0
"TMED7",0,-2.62122958672404,0.047,0.382,0
"WDR43",0,-1.14717963748773,0.115,0.45,0
"HAND2",0,-0.812104282297652,0.236,0.571,0
"OCIAD2",0,-3.7177420256156,0.011,0.346,0
"P3H4",0,-3.10329781565205,0.018,0.353,0
"SPART",0,-1.35933817871687,0.1,0.435,0
"NPM3",0,-4.61343820693173,0.005,0.339,0
"RNF150",0,3.75977766949214,0.64,0.306,0
"SLMAP",0,3.49718039265512,0.675,0.341,0
"PDZD11",0,-3.18640350910888,0.015,0.349,0
"PSMG2",0,-1.06802351701735,0.096,0.43,0
"SURF4",0,-1.42996238505278,0.074,0.408,0
"TMEM30A",0,-1.42464538760638,0.092,0.426,0
"MTIF3",0,-0.395656164728641,0.205,0.538,0
"BRD2",0,-1.03749353941093,0.115,0.448,0
"DHPS",0,-1.89594936964685,0.039,0.372,0
"EIF4EBP2",0,-0.807545313490375,0.135,0.468,0
"FMC1",0,-2.58722453269845,0.038,0.371,0
"GRXCR2",0,15.8650484044222,0.333,0,0
"NFYB",0,-1.83278648804041,0.052,0.385,0
"PAXX",0,-1.724750164224,0.041,0.374,0
"SLC16A3",0,-2.38284144419563,0.039,0.372,0
"TRH",0,-12.4113162535602,0,0.333,0
"WDR82",0,-1.20792700253667,0.107,0.44,0
"CHMP3",0,-1.36363566985232,0.101,0.434,0
"MGMT",0,-0.681337470269404,0.148,0.481,0
"SUCO",0,-0.786436392642575,0.159,0.492,0
"BOLA3",0,-1.39910617614241,0.071,0.403,0
"CRIP2",0,-0.674207666507754,0.324,0.656,0
"FBXW7",0,3.86456628535154,0.533,0.201,0
"NALCN",0,12.994087910881,0.332,0,0
"RPL3L",0,10.5114307146734,0.333,0.001,0
"YIPF5",0,-1.95644029564148,0.045,0.377,0
"WDR61",0,-15.7254013245495,0,0.332,0
"GPN3",0,-2.39921833036847,0.028,0.36,0
"MIR1-1HG",0,6.09427899679961,0.36,0.028,0
"MRPL19",0,-0.512567801700229,0.153,0.485,0
"PRR16",0,6.90180059025205,0.345,0.013,0
"ZSWIM7",0,-0.532297181429246,0.15,0.482,0
"VPS13D",0,3.86791665977165,0.544,0.213,0
"CDK16",0,-2.06360210955445,0.042,0.373,0
"DUSP6",0,-6.65327395927829,0.003,0.334,0
"FAM200B",0,-1.71293553568462,0.059,0.39,0
"LINC00665",0,-2.0343501638772,0.054,0.385,0
"MMP24OS",0,-1.89666462853508,0.054,0.385,0
"SDF2L1",0,-4.33368838114065,0.009,0.34,0
"STARD4-AS1",0,-1.34350950108543,0.107,0.438,0
"USP7",0,-1.02035245443849,0.125,0.456,0
"HRAS",0,-2.92764878867316,0.02,0.351,0
"LRRFIP2",0,3.49529952774842,0.708,0.377,0
"RBPJ",0,-0.325879715353185,0.258,0.589,0
"RRP15",0,-1.08721998425836,0.098,0.429,0
"SERP1",0,-0.311101305111863,0.244,0.575,0
"TOP2B",0,-0.341764714209746,0.253,0.584,0
"CPNE3",0,-0.40113270512493,0.217,0.547,0
"ENSG00000250258",0,15.8282508971718,0.33,0,0
"GARNL3",0,5.11997460819802,0.374,0.044,0
"GCHFR",0,-5.31152663411794,0.004,0.334,0
"GNPDA1",0,-1.46383465207141,0.06,0.39,0
"HEBP1",0,-2.00178677065799,0.044,0.374,0
"LUC7L2",0,-0.624573570244128,0.191,0.521,0
"PEA15",0,-2.02039150887044,0.051,0.381,0
"RPP21",0,-4.15010255438193,0.011,0.341,0
"UFM1",0,-0.965478728698603,0.116,0.446,0
"GDE1",0,-2.39989332687564,0.03,0.36,0
"GDF11",0,-2.65034500255272,0.022,0.352,0
"MTFR1L",0,-1.27413787192263,0.085,0.415,0
"PBX2",0,-2.55024254985234,0.03,0.36,0
"RUVBL2",0,-2.41896741205389,0.029,0.359,0
"SLU7",0,-2.38237038670131,0.032,0.362,0
"DGLUCY",0,3.68785754922322,0.554,0.225,0
"PTPN11",0,-0.347870660794807,0.209,0.538,0
"RBBP6",0,-0.516367212320189,0.212,0.541,0
"ACOT11",0,3.33199631389539,0.529,0.2,0
"BCAS3",0,4.05031615548939,0.462,0.133,0
"EML4",0,-1.09266602748882,0.121,0.45,0
"GPAT3",0,4.6917625456186,0.399,0.07,0
"GRAMD1B",0,5.580081708812,0.376,0.047,0
"NUCB2",0,-0.969786855921058,0.113,0.442,0
"CBR4",0,3.94947345933393,0.576,0.247,0
"DCP1B",0,4.70075067889849,0.41,0.081,0
"FRG1",0,-1.04997576225674,0.095,0.424,0
"KXD1",0,-2.55621400829059,0.026,0.355,0
"MFSD10",0,-2.76392929135343,0.019,0.348,0
"NKIRAS2",0,-2.47728827130084,0.026,0.355,0
"SORBS2",0,3.57707308373738,0.939,0.61,0
"TRIM44",0,-0.354436461388615,0.252,0.581,0
"EBP",0,-1.94592881597681,0.043,0.371,0
"FYTTD1",0,-0.922289936634478,0.131,0.459,0
"SEC63",0,-0.477529025464352,0.203,0.531,0
"SNHG18",0,-1.6081871488295,0.055,0.383,0
"FAM3C",0,-1.40530599145055,0.08,0.408,0
"GNG10",0,-3.79275539598051,0.024,0.352,0
"TP53BP1",0,-0.625392100269448,0.164,0.492,0
"C14orf119",0,-1.49267262604243,0.056,0.383,0
"C1D",0,-1.50623571216702,0.067,0.394,0
